,Unnamed: 0,Type,Price,Area,Total Room
0,0,2,12.8,20.0,11
1,1,2,12.8,20.0,11
2,2,2,14.9,20.0,12
3,3,2,16.75,1.1,13
4,4,1,1.11,5.5,4
5,5,2,9.75,20.0,12
6,6,2,14.0,20.0,11
7,7,2,3.85,11.0,7
8,8,1,2.28,10.0,6
9,9,2,11.0,20.0,8
10,10,2,16.5,20.0,12
11,11,2,10.5,20.0,12
12,12,1,2.45,10.0,7
13,13,2,6.6,11.0,11
14,14,2,10.25,20.0,12
15,15,2,11.25,20.0,12
16,16,1,95.0,5.1,4
17,17,2,11.5,20.0,13
18,18,2,12.5,20.0,6
19,19,2,11.5,20.0,11
20,20,2,7.0,10.0,10
21,21,2,6.5,10.0,10
22,22,2,9.5,20.0,15
23,23,2,12.5,20.0,11
24,24,2,12.0,20.0,13
